,upperBorder,lowerBorder,acronym,name,avIndex
0,0,470.0,VISp2/3,Primary visual area layer 2/3,188
1,470,630.0,VISp4,Primary visual area layer 4,189
2,630,700.0,VISp5,Primary visual area layer 5,190
3,700,980.0,VISpl5,Posterolateral visual area layer 5,197
4,980,1110.0,VISpl6a,Posterolateral visual area layer 6a,198
5,1110,1530.0,ENTm5,Entorhinal area medial part dorsal zone layer 5,515
6,1530,2070.0,ENTm3,Entorhinal area medial part dorsal zone layer 3,513
7,2070,2640.0,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
8,2640,2810.0,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
9,2810,3290.0,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
10,3290,3320.0,root,root,1
11,3320,3581.1821846746016,root,root,1
