,Unnamed: 0,session_id,cluster_id,mean_firing_rate,shank_id,num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,rp_contamination,rp_violations,sliding_rp_violation,amplitude_cutoff,amplitude_median,amplitude_cv_median,amplitude_cv_range,sync_spike_2,sync_spike_4,sync_spike_8,firing_range,sd_ratio,unit_location_x,unit_location_y,unit_location_z,border_score,delta_x_um,X_CCF,Y_CCF,Z_CCF,X_SC,Y_SC,Z_SC,cluster_annotation_derived_from_SHARP-Track,cluster_annotation_derived_from_brain_render
0,0,,71.0,2.4945908234504515,1,13881,3.229094896401675,1.0,2.4124243874616664,0.0074366472704583,1,0.0112178914499793,1,0.02,0.0002401615589723,-14.625,0.3969587385654449,0.375120502710342,0.0468986384266263,0.0007204091924212,0.0,5.4,1.0578560120980944,289.1556833761437,950.9727823329658,8.312093763069901,,-18.356931144348778,2511.724760238298,4459.09982966196,10092.355512592472,-3188.275239761702,4163.145606945613,4324.064057053304,root,root
1,1,,79.0,8.358293803055298,1,38438,8.941715267479836,1.0,3.735391360941788,0.0009698333770749,1,0.0014558097566361,1,0.005,0.0001657191614383,-21.449999,0.275797426700592,0.2466616123914718,0.0565846297934335,0.0008064935740673,5.203184348821479e-05,9.6,1.0845399488275895,260.2777125311028,1039.6344997647684,1.0000000000000002,,10.521039700692143,2544.909494371411,4365.308738434529,10094.037410867804,-3155.090505628589,4075.1383961237707,4333.917116035025,root,root
2,2,,90.0,3.399067216075749,1,10725,2.49492419594467,1.0,1.927177442397497,0.3363472287153407,27,0.282946923807002,13,0.335,0.0002154431109517,-11.309999,0.6214717626571655,0.6766682773828504,0.105081585081585,0.0078321678321678,0.0002797202797202,4.0,1.3370483705702214,229.26883539128912,1171.4420888851423,24.140285802819538,,41.52991684050582,2582.3209554263117,4225.875644042181,10096.537779270748,-3117.6790445736883,3944.3038192664258,4348.565015798985,root,root
3,3,,91.0,3.953235824620779,1,15671,3.645497163137429,1.0,1.9017552677186425,0.501791986324068,86,0.4366799249292447,39,0.225,0.0001928762764917,-12.09,0.55833899974823,0.4317712128162381,0.0919532895156658,0.0015314912896432,0.0001276242741369,4.800000000000001,1.130895590133283,313.8136926401059,1190.4499243110586,1.000000000000004,,-43.01494040831096,2498.6994081490284,4205.768142426961,10096.898354799247,-3201.3005918509716,3925.4363009276094,4350.677374198883,root,root
4,4,,92.0,3.3965709610823027,1,13245,3.081144146879921,1.0,2.7829457352164324,0.6452705690868291,79,0.7894148172341682,39,,3.071657002802413e-05,-16.574999,0.4879153370857239,0.5243501991033553,0.116647791619479,0.0055115137787844,0.0001510003775009,4.0,1.549601836350733,334.30659496458134,1231.1644001594957,1.000000000000141,,-63.5078427327864,2480.1842208401913,4162.698199398676,10097.670701745528,-3219.8157791598087,3885.022382008767,4355.202011703825,root,root
5,5,,94.0,4.335994923615845,1,25841,6.01131339369755,1.0,2.4718445445953163,0.4012745955617168,187,0.4479642389422121,108,0.235,8.103204924584375e-05,-13.065,0.5275970697402954,0.3874585926532745,0.0662513060640068,0.0007352656630935,3.86981927943965e-05,9.61999999999998,1.1595323560057205,307.1582350059145,1217.3224696408226,1.0000000000129,,-36.359482774119556,2506.660205844699,4177.340931410259,10097.408122588018,-3193.339794155301,3898.7621304889963,4353.663745112877,root,root
6,6,,96.0,7.218337356048255,1,27115,6.307680146670371,1.0,3.0965527236345256,0.3098821768041944,159,0.2744612453446767,81,0.245,3.164167750982925e-05,-20.279999,0.3376028537750244,0.2379382863640784,0.0804720634335238,0.0011063986723215,0.0,6.200000000000001,1.0911429669440922,324.7873191987959,1260.8201120426895,1.0000000000057707,,-53.98856696700096,2491.1440296220258,4131.326806432027,10098.233265748515,-3208.8559703779742,3855.5855905346616,4358.497678501108,root,root
7,7,,97.0,2.789980997674905,1,11133,2.589835997524663,1.0,3.1450477390419644,0.0578048498567227,5,0.0719545483415882,4,0.085,0.000247200976655,-18.72,0.3243926167488098,0.3006523065268993,0.0538938291565615,0.0015269918261025,0.0001796460971885,4.819999999999982,1.0944571407624557,255.87076864434457,1233.5488560156848,5.416765944096424,,14.92798358745037,2558.735872651304,4160.175794879413,10097.715934483043,-3141.264127348696,3882.6555283620123,4355.466998497121,root,root
8,8,,102.0,9.80528961425621,1,32360,7.527808576295527,1.0,3.158838492871004,0.4460866901916684,326,0.4771246101238741,177,,7.996987701208108e-06,-20.865,0.3461655378341675,0.2081997871398924,0.0853831891223733,0.0007416563658838,3.090234857849197e-05,8.399999999999999,1.1253549123612108,320.62670739469723,1272.1479884426503,1.0000000000009326,,-49.8279551629023,2495.8548956240393,4119.343574890647,10098.448153710673,-3204.1451043759607,3844.341337260841,4359.756555923512,root,root
9,9,,106.0,2.1001825344859704,1,6670,1.5516218542611608,1.0,6.6463648384279015,0.0,0,0.0,0,0.05,0.0002692515513072,-43.484997,,,0.1278860569715142,0.0034482758620689,0.0,5.439999999999964,1.4595940651562862,297.12998667090983,1324.9705029882657,1.0000000000147924,,-26.331234439114894,2521.9174821241545,4063.46510305278,10099.45018817026,-3178.0825178758455,3791.9087619801794,4365.626771011338,root,root
10,10,,114.0,15.082372670401227,1,74286,17.28092669649844,1.0,2.8908636849204146,0.0423245498433198,163,0.0405501072942089,102,0.035,3.4835916774167163e-06,-17.94,0.3807133138179779,0.4163731813430786,0.0505478825081442,0.0030557574778558,0.0003634601405379,18.6,1.154649752666124,244.8733981216135,1392.9950281248427,16.009160666147082,,25.925354110181445,2577.478377605832,3991.5051339974243,10100.740602283833,-3122.521622394168,3724.386398347248,4373.186399651398,root,root
11,11,,115.0,3.815941799981245,1,19107,4.444803413698351,1.0,5.177140203629318,0.0549492437516548,14,0.0607174969519722,10,0.075,1.3579144241762213e-05,-33.344997,0.2484081536531448,0.1975831277668476,0.0693463128696289,0.0009943999581305,0.0,15.8,1.2504104852123124,298.7667957124942,1381.0146910444464,1.0000000000000488,,-27.968043480699237,2523.003032389627,4004.178573229042,10100.513337249304,-3176.996967610373,3736.2782957939917,4371.855013667759,root,root
12,12,,116.0,7.980527214047125,1,52393,12.188024559266116,1.0,3.8454732469120905,0.1137964336362331,218,0.09364724322795,114,0.085,7.943891803012085e-06,-24.96,0.2832852900028229,0.1978922784328459,0.0777584791861508,0.0007634607676598,0.0,16.61999999999998,1.0725306191930524,289.28707900312327,1414.753343087197,1.0000000000000002,,-18.48832677132833,2534.1216118710677,3968.4880285013687,10101.15335395918,-3165.8783881289323,3702.7887046922287,4375.604421396034,root,root
13,13,,118.0,9.055581031224571,1,34650,8.060524325359703,1.0,2.3495541415026366,0.0823495639970098,69,0.0743740674755693,40,0.08,1.3802780712899123e-05,-14.625,0.4236967265605926,0.4283519566059112,0.0709668109668109,0.0012409812409812,0.0002308802308802,9.6,1.1332157919014234,244.74658912145753,1446.9030923142814,1.0000000000000218,,26.052163110337403,2580.223783205593,3934.478309876012,10101.763229442575,-3119.776216794407,3670.8762870213923,4379.177252879089,root,root
14,14,,122.0,15.419367094516453,1,57407,13.35441616005554,1.0,1.824739222090633,0.034783956112672,80,0.0151148098114073,23,0.02,4.511418052525626e-06,-13.844999,0.9142593145370485,0.7065605729818342,0.0793631438674726,0.0006619401815109,3.4838956921629766e-05,17.819999999999983,1.6409904961087565,244.9178216368054,1509.9695103541208,35.93011571347738,,25.880930594989536,2583.1160164316243,3867.7632908227047,10102.959589075628,-3116.8839835683757,3608.275429413601,4386.185882473823,root,root
15,15,,125.0,3.2276577065257843,1,14107,3.2816685904141223,1.0,4.716735919922851,0.0720027955670476,10,0.0441775032363264,4,0.06,0.0003601799123251,-30.81,,,0.0714538881406394,0.0006379811441128,7.088679379031687e-05,12.6,1.1503603878119704,297.2901568935454,1542.9427779715938,8.738399603587235,,-26.491404661750437,2532.3453652227026,3832.882410542491,10103.58508656817,-3167.6546347772974,3575.5455726191162,4389.850232320248,root,root
16,16,,128.0,5.722248529976236,1,22072,5.134542363905898,1.0,3.6019537107014576,0.3529527438029101,120,0.5000245811854187,85,,3.173145777895375e-05,-23.205,0.3352502882480621,0.3883915990591049,0.0768847408481333,0.0008608191373686,0.0,13.6,1.2159659968585317,300.74279892097445,1522.3077564477553,1.0000000000004574,,-29.944046689179515,2527.8903722853015,3854.7112363568676,10103.193643585586,-3172.1096277146985,3596.0282650614163,4387.557043218426,root,root
17,17,,131.0,6.878846676939587,1,25219,5.866619421680992,1.0,3.0439427144634643,0.47538494430278,211,0.5893424787322028,123,,1.0291676923472544e-05,-19.109999,0.4388342499732971,0.3384079173207283,0.0836670764106427,0.0007930528569729,3.965264284864586e-05,10.81999999999998,1.233696900535452,300.9927363684725,1530.218455070005,7.598520838137236,,-30.193984136677557,2528.0246988403087,3846.3428776374144,10103.343708244323,-3171.9753011596913,3588.1759637349514,4388.436166501499,root,root
18,18,,132.0,0.8711929927126827,1,1061,0.2468172095009133,0.3943661971830985,16.542712269121633,0.0,0,0.0,0,,0.0002440970116783,-109.59,,,0.1630537229029217,0.000942507068803,0.0,1.0,1.4598578935819009,291.3711567495157,1529.5116564331595,2.825335878843716,,-20.57240451772077,2537.611945553143,3847.0905669146814,10103.330300389809,-3162.388054446857,3588.8775447379285,4388.3576193127155,root,root
19,19,,134.0,1.681643780584844,1,6114,1.4222812619119547,1.0,6.427537649466273,0.0383325598565288,1,0.0592543805946192,1,0.09,0.0003802137182514,-43.289997,,,0.0847235852142623,0.0013084723585214,0.0,6.819999999999982,1.2570762236027992,285.2591383737189,1569.88064590813,17.58675941622912,,-14.460386141923948,2545.6848968646354,3804.3860977900167,10104.096093516104,-3154.3151031353646,3548.8065617894963,4392.843862596186,root,root
20,20,,135.0,4.033115984411054,1,15435,3.5905971994784136,1.0,7.807075707395766,0.006014581631831,1,0.0090629408965942,1,0.02,0.0008288576321582,-52.26,,,0.0923874311629413,0.0018788467768059,0.0,14.0,1.295561984499661,264.8239153074611,1575.5613213055287,11.10737504124228,,5.974836924333829,2566.3960600430596,3798.3767765196435,10104.20385499908,-3133.6039399569404,3543.1678215102565,4393.475161327678,root,root
21,21,,137.0,1.939590129907606,1,7919,1.8421729331175607,1.0,5.379001244772529,0.1827965489470478,8,0.2327270597309311,6,0.22,0.0002689262782342,-36.855,0.2624189257621765,0.2277163803577423,0.0830912994064907,0.0017678999873721,0.0,6.6,1.292275165763431,291.52257417881947,1600.742286527675,16.671948636284665,,-20.723821947024533,2540.9205723409304,3771.739009118378,10104.681533789939,-3159.0794276590696,3518.1727438240214,4396.2735453736595,root,root
22,22,,142.0,24.761185364989505,1,91529,21.29211344807643,1.0,8.851097565274962,0.0042760351341711,25,0.0041134539806295,16,0.005,5.4577339564195206e-05,-61.035,0.1471339762210846,0.0958184540271758,0.0991489036261731,0.0013656873777709,1.0925499022167838e-05,24.4,1.3141546353522997,272.83394583755353,1595.3836865170613,10.238442146687296,,-2.035193605758593,2559.3489054559177,3777.4076218748746,10104.579882024362,-3140.6510945440823,3523.4917862980947,4395.6780391789525,root,root
23,23,,143.0,7.73755839468504,1,25861,6.015965932990687,1.0,3.4467592287158824,0.4113668502585128,192,0.5494706140281953,124,,8.097299058686968e-05,-22.23,0.4546043276786804,0.5315367877483368,0.0811646881404431,0.0016627353930629,3.866826495495147e-05,14.019999999999982,1.4773192235978083,278.42075862512763,1607.7364008373029,21.807578795205423,,-7.622006393332697,2554.3621286036205,3764.340262147636,10104.814210994211,-3145.6378713963795,3511.2302605247,4397.050807791012,root,root
24,24,,145.0,4.896820212143398,1,13224,3.076258980622128,1.0,1.8636448515563195,0.3277577740618869,40,0.2370394256115889,17,0.175,0.0001196332322755,-12.285,0.6196281313896179,0.5049648031592369,0.065260133091349,0.0012099213551119,0.0,6.219999999999982,1.1272928192736122,287.0175959258269,1626.8640400703644,12.351823585172728,,-16.21884369403199,2546.6944207719034,3744.106025678516,10105.177059181333,-3153.3055792280966,3492.243822778296,4399.176480099237,root,root
25,25,,146.0,4.123813249172928,1,14689,3.4170574838444066,1.0,6.0596750752297375,0.29884551566226,45,0.4147309460230894,33,0.275,3.7767238577480674e-05,-40.364998,,,0.0950371025937776,0.0019061883041731,6.80781537204711e-05,14.8,1.5241242485322757,264.8376678724496,1635.6424105759731,15.48658513344477,,5.961084359345364,2569.3007601888066,3734.819797385533,10105.343583433754,-3130.6992398111934,3483.5302547791925,4400.152028564353,root,root
26,26,,148.0,2.380595178749747,1,10737,2.4977157195205524,1.0,10.77829072328759,0.0372884249911624,3,0.0775866978217679,4,0.06,0.0005375014186526,-71.954994,,,0.0980720871751886,0.0010244947378224,9.313588525658936e-05,13.019999999999982,1.5828623613310078,263.0506597493879,1637.4401508958506,1.000000000079333,,7.74809248240706,2571.1750939608114,3732.9180518381995,10105.377686273525,-3128.8249060391886,3481.7457854962004,4400.351813115326,root,root
27,27,,149.0,15.263767199924978,1,45408,10.56312521113805,1.0,3.293622236921289,0.3662389742199371,527,0.4141060944002759,315,0.315,5.729722769457823e-06,-20.085,0.4293991923332214,0.3438781440258026,0.0773431994362227,0.0009910147991543,2.2022551092318532e-05,17.819999999999983,1.3312082305438844,299.4346626388255,1630.264263467829,13.82069808762527,,-28.635910407030565,2534.4425206913997,3740.5090881038454,10105.241560862934,-3165.5574793086003,3488.86870005284,4399.554350082548,root,root
28,28,,151.0,20.590775355938916,1,68907,16.029626253609266,1.0,3.506527666785802,0.4252095396614239,1409,0.5333272619629879,864,,6.139822239126923e-05,-22.035,0.429468423128128,0.3441894054412837,0.0791066219687404,0.0013351328602319,2.90246273963458e-05,24.0,1.3637734001837325,295.53009199446296,1661.2841001503548,11.201310651376287,,-24.73133976266803,2539.8538870272514,3707.6946512034033,10105.830002090204,-3160.1461129727486,3458.0778538380914,4403.001613335387,root,root
29,29,,154.0,5.624894585231838,1,21615,5.02823184105772,1.0,3.2793142968512745,0.1809506815367673,59,0.2466351874860585,47,0.2,0.0001450906184089,-22.619999,,,0.0716631968540365,0.0008327550312283,0.0,16.400000000000002,1.3352362820560748,272.9475135889701,1678.286704112684,12.077777347650938,,-2.1487613571751467,2563.2623708253723,3689.708390328621,10106.15253870588,-3136.7376291746277,3441.200764212753,4404.8911285008535,root,root
30,30,,162.0,31.90130673124312,1,125464,29.18630949370649,1.0,7.992589504147856,0.0141095164608905,155,0.0141643158128854,103,0.015,2.6292931924483577e-06,-55.574997,,,0.0905199897978703,0.0013390295224128,7.970413823885735e-06,26.22,1.624399808772068,235.77987714337,1682.4320872175604,9.690959989735772,,35.01887508842495,2600.6313702074035,3685.3231830912227,10106.231175945226,-3099.3686297925965,3437.0859825976913,4405.351808774339,root,root
