upperBorder,lowerBorder,acronym,name,avIndex
0,190,VISp1,Primary visual area layer 1,187
190,490,VISp2/3,Primary visual area layer 2/3,188
490,690,VISp4,Primary visual area layer 4,189
690,920,VISp5,Primary visual area layer 5,190
920,1020,VISpl5,Posterolateral visual area layer 5,197
1020,1250,VISpl6a,Posterolateral visual area layer 6a,198
1250,1260,HPF,Hippocampal formation,455
1260,1540,ENTm5,Entorhinal area medial part dorsal zone layer 5,515
1540,1890,ENTm3,Entorhinal area medial part dorsal zone layer 3,513
1890,2320,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
2320,2490,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
2490,2760,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
2760,3000,root,root,1
