device_contact_id,x,y,mouse
s0e0,0.0,0.0,20
s0e1,32.0,0.0,20
s0e2,0.0,15.0,20
s0e3,32.0,15.0,20
s0e4,0.0,30.0,20
s0e5,32.0,30.0,20
s0e6,0.0,45.0,20
s0e7,32.0,45.0,20
s0e8,0.0,60.0,20
s0e9,32.0,60.0,20
s0e10,0.0,75.0,20
s0e11,32.0,75.0,20
s0e12,0.0,90.0,20
s0e13,32.0,90.0,20
s0e14,0.0,105.0,20
s0e15,32.0,105.0,20
s0e16,0.0,120.0,20
s0e17,32.0,120.0,20
s0e18,0.0,135.0,20
s0e19,32.0,135.0,20
s0e20,0.0,150.0,20
s0e21,32.0,150.0,20
s0e22,0.0,165.0,20
s0e23,32.0,165.0,20
s0e24,0.0,180.0,20
s0e25,32.0,180.0,20
s0e26,0.0,195.0,20
s0e27,32.0,195.0,20
s0e28,0.0,210.0,20
s0e29,32.0,210.0,20
s0e30,0.0,225.0,20
s0e31,32.0,225.0,20
s0e32,0.0,240.0,20
s0e33,32.0,240.0,20
s0e34,0.0,255.0,20
s0e35,32.0,255.0,20
s0e36,0.0,270.0,20
s0e37,32.0,270.0,20
s0e38,0.0,285.0,20
s0e39,32.0,285.0,20
s0e40,0.0,300.0,20
s0e41,32.0,300.0,20
s0e42,0.0,315.0,20
s0e43,32.0,315.0,20
s0e44,0.0,330.0,20
s0e45,32.0,330.0,20
s0e46,0.0,345.0,20
s0e47,32.0,345.0,20
s0e288,0.0,2160.0,20
s0e289,32.0,2160.0,20
s0e290,0.0,2175.0,20
s0e291,32.0,2175.0,20
s0e292,0.0,2190.0,20
s0e293,32.0,2190.0,20
s0e294,0.0,2205.0,20
s0e295,32.0,2205.0,20
s0e296,0.0,2220.0,20
s0e297,32.0,2220.0,20
s0e298,0.0,2235.0,20
s0e299,32.0,2235.0,20
s0e300,0.0,2250.0,20
s0e301,32.0,2250.0,20
s0e302,0.0,2265.0,20
s0e303,32.0,2265.0,20
s0e304,0.0,2280.0,20
s0e305,32.0,2280.0,20
s0e306,0.0,2295.0,20
s0e307,32.0,2295.0,20
s0e308,0.0,2310.0,20
s0e309,32.0,2310.0,20
s0e310,0.0,2325.0,20
s0e311,32.0,2325.0,20
s0e312,0.0,2340.0,20
s0e313,32.0,2340.0,20
s0e314,0.0,2355.0,20
s0e315,32.0,2355.0,20
s0e316,0.0,2370.0,20
s0e317,32.0,2370.0,20
s0e318,0.0,2385.0,20
s0e319,32.0,2385.0,20
s0e320,0.0,2400.0,20
s0e321,32.0,2400.0,20
s0e322,0.0,2415.0,20
s0e323,32.0,2415.0,20
s0e324,0.0,2430.0,20
s0e325,32.0,2430.0,20
s0e326,0.0,2445.0,20
s0e327,32.0,2445.0,20
s0e328,0.0,2460.0,20
s0e329,32.0,2460.0,20
s0e330,0.0,2475.0,20
s0e331,32.0,2475.0,20
s0e332,0.0,2490.0,20
s0e333,32.0,2490.0,20
s0e334,0.0,2505.0,20
s0e335,32.0,2505.0,20
s0e48,0.0,360.0,20
s0e49,32.0,360.0,20
s0e50,0.0,375.0,20
s0e51,32.0,375.0,20
s0e52,0.0,390.0,20
s0e53,32.0,390.0,20
s0e54,0.0,405.0,20
s0e55,32.0,405.0,20
s0e56,0.0,420.0,20
s0e57,32.0,420.0,20
s0e58,0.0,435.0,20
s0e59,32.0,435.0,20
s0e60,0.0,450.0,20
s0e61,32.0,450.0,20
s0e62,0.0,465.0,20
s0e63,32.0,465.0,20
s0e64,0.0,480.0,20
s0e65,32.0,480.0,20
s0e66,0.0,495.0,20
s0e67,32.0,495.0,20
s0e68,0.0,510.0,20
s0e69,32.0,510.0,20
s0e70,0.0,525.0,20
s0e71,32.0,525.0,20
s0e72,0.0,540.0,20
s0e73,32.0,540.0,20
s0e74,0.0,555.0,20
s0e75,32.0,555.0,20
s0e76,0.0,570.0,20
s0e77,32.0,570.0,20
s0e78,0.0,585.0,20
s0e79,32.0,585.0,20
s0e80,0.0,600.0,20
s0e81,32.0,600.0,20
s0e82,0.0,615.0,20
s0e83,32.0,615.0,20
s0e84,0.0,630.0,20
s0e85,32.0,630.0,20
s0e86,0.0,645.0,20
s0e87,32.0,645.0,20
s0e88,0.0,660.0,20
s0e89,32.0,660.0,20
s0e90,0.0,675.0,20
s0e91,32.0,675.0,20
s0e92,0.0,690.0,20
s0e93,32.0,690.0,20
s0e94,0.0,705.0,20
s0e95,32.0,705.0,20
s0e336,0.0,2520.0,20
s0e337,32.0,2520.0,20
s0e338,0.0,2535.0,20
s0e339,32.0,2535.0,20
s0e340,0.0,2550.0,20
s0e341,32.0,2550.0,20
s0e342,0.0,2565.0,20
s0e343,32.0,2565.0,20
s0e344,0.0,2580.0,20
s0e345,32.0,2580.0,20
s0e346,0.0,2595.0,20
s0e347,32.0,2595.0,20
s0e348,0.0,2610.0,20
s0e349,32.0,2610.0,20
s0e350,0.0,2625.0,20
s0e351,32.0,2625.0,20
s0e352,0.0,2640.0,20
s0e353,32.0,2640.0,20
s0e354,0.0,2655.0,20
s0e355,32.0,2655.0,20
s0e356,0.0,2670.0,20
s0e357,32.0,2670.0,20
s0e358,0.0,2685.0,20
s0e359,32.0,2685.0,20
s0e360,0.0,2700.0,20
s0e361,32.0,2700.0,20
s0e362,0.0,2715.0,20
s0e363,32.0,2715.0,20
s0e364,0.0,2730.0,20
s0e365,32.0,2730.0,20
s0e366,0.0,2745.0,20
s0e367,32.0,2745.0,20
s0e368,0.0,2760.0,20
s0e369,32.0,2760.0,20
s0e370,0.0,2775.0,20
s0e371,32.0,2775.0,20
s0e372,0.0,2790.0,20
s0e373,32.0,2790.0,20
s0e374,0.0,2805.0,20
s0e375,32.0,2805.0,20
s0e376,0.0,2820.0,20
s0e377,32.0,2820.0,20
s0e378,0.0,2835.0,20
s0e379,32.0,2835.0,20
s0e380,0.0,2850.0,20
s0e381,32.0,2850.0,20
s0e382,0.0,2865.0,20
s0e383,32.0,2865.0,20
s0e96,0.0,720.0,20
s0e97,32.0,720.0,20
